sample ID ,past_exposed,metsch_exposed,date1,size1,date2,size2,date3,size3,date4,size4,date5,size5,date6,size6,date7,size7,date8,size8,date9,size9,notes ,Terminal infection ,expstart
T1-1,,,10/18/2022,1423.44,10/25/2022,1541.76,11/1/2022,1678.4,11/8/2022,1720.02,,,,,,,,,,,,none,10/15/2022
T1-2,,,10/18/2022,1373.11,10/25/2022,1527.98,11/1/2022,1626.03,11/8/2022,1755.01,11/15/2022,1785.23,11/22/2022,1809.33,11/29/2022,1861.47,12/6/2022,1980.47,12/13/2022,1986.53,,none,10/15/2022
T1-3,,,10/18/2022,1576.34,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-4,,,10/18/2022,1360.59,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-5,,,10/18/2022,1442.58,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-6,,,10/18/2022,1388.43,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-7,,,10/18/2022,1350.03,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-8,,,10/18/2022,1324.25,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-9,,,10/18/2022,1491.89,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-10,,,10/18/2022,1436.11,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-11,,,10/18/2022,1448.48,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-12,,,10/18/2022,1376.07,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-13,,,10/18/2022,1386.35,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-14,,,10/18/2022,1506.81,10/25/2022,1608.44,11/1/2022,1769.73,11/8/2022,1851.35,11/15/2022,1910.71,11/22/2022,1981.68,11/29/2022,1963.82,12/6/2022,2021.94,12/13/2022,2067.63,,none,10/15/2022
T1-15,,,10/18/2022,1451.12,10/25/2022,1597.65,11/1/2022,1751.39,11/8/2022,1798.91,11/15/2022,1887.93,11/22/2022,1943.24,,,,,,,,none,10/15/2022
T1-16,,,10/18/2022,1189.92,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-17,,,10/18/2022,1310.87,,,,,,,,,,,,,,,,,,none,10/15/2022
T1-18,,,10/18/2022,1392.95,10/25/2022,1500.48,11/1/2022,1685.66,11/8/2022,1810.33,11/15/2022,1902.87,11/22/2022,1919.65,11/29/2022,1987.37,12/6/2022,2048.64,12/13/2022,2065.2,,none,10/15/2022
T1-19,,,10/18/2022,1382.88,10/25/2022,1480.83,11/1/2022,1699.64,11/8/2022,1770.32,11/15/2022,1863.13,11/22/2022,2039.97,11/29/2022,2055.17,12/6/2022,2098.74,12/13/2022,2098.12,,none,10/15/2022
T1-20,,,10/18/2022,1455.35,10/25/2022,1573.98,11/1/2022,1811.53,11/8/2022,1821.89,11/15/2022,1994.84,11/22/2022,1986.86,11/29/2022,2103.54,12/6/2022,2082.22,12/13/2022,2079.9,,none,10/15/2022
